Date;Time;Sensor;Value
18.10.2018;00:00:02;office_power;19
18.10.2018;00:00:11;office_power;15
18.10.2018;00:00:17;office_power;27
18.10.2018;00:00:23;office_power;14
18.10.2018;00:00:26;office_power;17
18.10.2018;00:00:44;office_power;12
18.10.2018;00:00:50;office_power;7
18.10.2018;00:00:53;office_power;11
18.10.2018;00:00:56;office_power;16
18.10.2018;00:01:05;office_power;21
18.10.2018;00:01:08;office_power;16
18.10.2018;00:01:14;office_power;25
18.10.2018;00:01:14;livingroom_humidity;43
18.10.2018;00:01:14;livingroom_temperature;24
18.10.2018;00:01:16;house_power;186
18.10.2018;00:01:20;office_power;28
18.10.2018;00:01:23;office_power;34
18.10.2018;00:01:29;office_power;27
18.10.2018;00:01:35;office_power;19
18.10.2018;00:01:38;office_power;12
18.10.2018;00:01:41;office_power;6
18.10.2018;00:01:44;office_power;10
18.10.2018;00:01:50;office_power;13
18.10.2018;00:01:56;office_power;18
18.10.2018;00:02:02;office_power;15
18.10.2018;00:02:11;office_power;7
18.10.2018;00:02:26;office_power;17
18.10.2018;00:02:29;office_power;14
18.10.2018;00:02:32;garden_brightness;7
18.10.2018;00:02:32;garden_windspeed;0
18.10.2018;00:02:35;office_power;25
18.10.2018;00:02:41;office_power;18
18.10.2018;00:02:47;office_power;7
18.10.2018;00:02:56;office_power;11
18.10.2018;00:03:02;office_power;23
18.10.2018;00:03:05;office_power;11
18.10.2018;00:03:08;office_power;21
18.10.2018;00:03:11;office_power;15
18.10.2018;00:03:17;livingroom_humidity;43
18.10.2018;00:03:17;livingroom_temperature;24
18.10.2018;00:03:26;office_power;20
18.10.2018;00:03:29;office_power;27
18.10.2018;00:03:38;office_power;21
18.10.2018;00:03:41;office_power;13
18.10.2018;00:03:41;house_power;185
18.10.2018;00:03:44;office_power;10
18.10.2018;00:03:47;office_power;6
18.10.2018;00:03:59;office_power;3
18.10.2018;00:04:14;livingroom_co2;632
18.10.2018;00:04:17;office_power;0
18.10.2018;00:04:26;office_power;6
18.10.2018;00:04:32;office_power;15
18.10.2018;00:04:35;office_power;22
18.10.2018;00:04:41;office_power;16
18.10.2018;00:04:44;office_power;20
18.10.2018;00:04:47;office_power;11
18.10.2018;00:04:50;office_power;3
18.10.2018;00:04:56;office_power;10
18.10.2018;00:04:56;garden_brightness;7
18.10.2018;00:04:56;garden_windspeed;0
18.10.2018;00:04:59;office_co2;520
18.10.2018;00:05:02;office_power;13
18.10.2018;00:05:14;office_power;10
18.10.2018;00:05:17;office_power;17
18.10.2018;00:05:20;office_power;24
18.10.2018;00:05:23;office_power;20
18.10.2018;00:05:26;office_power;23
18.10.2018;00:05:32;office_power;18
18.10.2018;00:05:35;office_power;12
18.10.2018;00:05:47;office_power;16
18.10.2018;00:05:51;house_power;294
18.10.2018;00:05:56;office_power;13
18.10.2018;00:06:02;office_power;8
18.10.2018;00:06:10;livingroom_humidity;43
18.10.2018;00:06:10;livingroom_temperature;24
18.10.2018;00:06:14;office_power;14
18.10.2018;00:06:20;office_power;23
18.10.2018;00:06:26;office_power;26
18.10.2018;00:06:28;office_co2;530
18.10.2018;00:06:29;office_power;17
18.10.2018;00:06:38;office_power;14
18.10.2018;00:06:39;livingroom_co2;622
18.10.2018;00:06:41;office_power;20
18.10.2018;00:06:44;office_power;32
18.10.2018;00:06:50;office_power;22
18.10.2018;00:06:53;office_power;29
18.10.2018;00:06:56;office_power;20
18.10.2018;00:06:59;office_power;17
18.10.2018;00:07:00;office_co2;520
18.10.2018;00:07:02;office_power;13
18.10.2018;00:07:05;garden_brightness;7
18.10.2018;00:07:05;garden_windspeed;0
18.10.2018;00:07:08;office_co2;530
18.10.2018;00:07:11;office_power;8
18.10.2018;00:07:14;office_power;3
18.10.2018;00:07:26;office_power;8
18.10.2018;00:07:29;office_power;5
18.10.2018;00:07:35;office_power;13
18.10.2018;00:07:38;office_power;29
18.10.2018;00:07:41;office_power;24
18.10.2018;00:07:44;office_power;28
18.10.2018;00:07:47;office_power;42
18.10.2018;00:07:50;office_power;17
18.10.2018;00:07:56;office_power;24
18.10.2018;00:07:59;office_power;20
18.10.2018;00:08:02;office_power;7
18.10.2018;00:08:11;office_power;3
18.10.2018;00:08:14;office_power;7
18.10.2018;00:08:26;office_power;10
18.10.2018;00:08:41;office_power;3
18.10.2018;00:08:47;office_power;12
18.10.2018;00:08:48;livingroom_humidity;43
18.10.2018;00:08:48;livingroom_temperature;24
18.10.2018;00:08:49;house_power;293
18.10.2018;00:08:50;office_power;27
18.10.2018;00:09:02;office_power;19
18.10.2018;00:09:05;office_power;10
18.10.2018;00:09:11;office_power;4
18.10.2018;00:09:26;office_power;10
18.10.2018;00:09:41;office_power;3
18.10.2018;00:09:44;office_power;0
18.10.2018;00:09:50;office_power;11
18.10.2018;00:09:53;office_power;14
18.10.2018;00:09:56;office_power;20
18.10.2018;00:09:59;office_power;23
18.10.2018;00:10:02;office_power;33
18.10.2018;00:10:03;garden_brightness;7
18.10.2018;00:10:03;garden_windspeed;0
18.10.2018;00:10:05;office_power;21
18.10.2018;00:10:08;office_power;17
18.10.2018;00:10:14;office_power;23
18.10.2018;00:10:20;office_power;30
18.10.2018;00:10:32;office_power;20
18.10.2018;00:10:35;office_power;17
18.10.2018;00:10:41;office_power;11
18.10.2018;00:10:50;office_power;6
18.10.2018;00:10:55;office_co2;520
18.10.2018;00:10:59;office_power;29
18.10.2018;00:11:02;livingroom_co2;612
18.10.2018;00:11:05;office_power;25
18.10.2018;00:11:08;office_power;16
18.10.2018;00:11:09;office_co2;530
18.10.2018;00:11:09;office_doorcontact;0
18.10.2018;00:11:11;office_co2;520
